created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2020-09-07 21:27:11 KST,1,26.17,65.56,991.97,0,0,0,,,,
2020-09-07 21:32:13 KST,2,26.22,65.53,992.22,0,0,0,,,,
2020-09-07 21:37:14 KST,3,26.94,63.61,992.32,0,0,0,,,,
2020-09-07 21:42:15 KST,4,27.04,63.34,992.40,0,0,0,,,,
2020-09-07 21:47:16 KST,5,27.10,63.20,992.51,0,0,0,,,,
2020-09-07 21:52:17 KST,6,26.96,63.44,992.71,0,0,0,,,,
2020-09-07 21:57:18 KST,7,26.79,63.67,992.84,1,1,1,,,,
2020-09-07 22:02:19 KST,8,26.66,63.73,992.96,5,6,6,,,,
2020-09-07 22:07:20 KST,9,26.63,63.75,993.13,6,10,10,,,,
2020-09-07 22:12:22 KST,10,26.56,63.80,993.30,7,11,11,,,,
2020-09-07 22:17:23 KST,11,26.76,65.17,993.53,6,10,10,,,,
2020-09-07 22:22:24 KST,12,26.91,66.67,993.42,7,12,12,,,,
2020-09-07 22:27:26 KST,13,26.98,68.32,993.71,8,11,13,,,,
2020-09-07 22:32:27 KST,14,27.02,69.26,993.83,7,12,13,,,,
2020-09-07 22:37:28 KST,15,27.08,68.47,993.97,5,9,9,,,,
2020-09-07 22:42:29 KST,16,27.05,68.97,994.34,5,8,8,,,,
2020-09-07 22:47:30 KST,17,27.02,69.04,994.38,4,7,7,,,,
2020-09-07 22:52:31 KST,18,27.01,69.00,994.55,4,8,9,,,,
2020-09-07 22:57:32 KST,19,25.12,62.93,994.84,3,5,5,,,,
2020-09-07 23:02:33 KST,20,24.61,62.45,994.91,3,6,8,,,,
2020-09-07 23:07:34 KST,21,25.45,63.99,995.15,2,3,3,,,,
2020-09-07 23:12:35 KST,22,24.28,58.41,995.21,1,3,3,,,,
2020-09-07 23:17:36 KST,23,24.67,60.70,995.62,1,2,2,,,,
2020-09-07 23:22:37 KST,24,25.48,61.50,995.49,1,2,3,,,,
2020-09-07 23:27:38 KST,25,22.76,64.96,995.34,4,8,8,,,,
2020-09-07 23:28:20 KST,26,23.19,65.48,995.40,4,5,5,,,,
2020-09-07 23:33:21 KST,27,24.22,67.41,995.70,6,13,13,,,,
2020-09-07 23:38:23 KST,28,23.62,72.69,995.75,9,17,18,,,,
2020-09-07 23:43:24 KST,29,23.40,73.41,995.68,11,21,21,,,,
2020-09-07 23:48:26 KST,30,23.44,73.45,995.91,10,18,19,,,,
2020-09-07 23:53:27 KST,31,23.35,71.35,995.73,7,13,15,,,,
2020-09-07 23:58:28 KST,32,23.42,72.35,995.88,9,18,18,,,,
2020-09-08 00:03:30 KST,33,23.47,71.74,996.08,9,14,15,,,,
2020-09-08 00:08:32 KST,34,23.47,71.77,996.31,11,17,19,,,,
2020-09-08 00:13:33 KST,35,23.48,72.10,996.09,13,24,25,,,,
2020-09-08 00:18:34 KST,36,23.47,71.84,996.30,10,18,18,,,,
2020-09-08 00:23:36 KST,37,23.44,71.72,996.74,12,19,20,,,,
2020-09-08 00:28:37 KST,38,23.56,71.49,996.53,14,25,28,,,,
2020-09-08 00:33:39 KST,39,23.54,71.23,996.71,11,14,15,,,,
2020-09-08 00:38:41 KST,40,23.54,68.93,996.66,8,13,14,,,,
2020-09-08 00:43:42 KST,41,23.59,69.99,996.87,7,14,14,,,,
2020-09-08 00:48:43 KST,42,23.56,70.39,996.63,8,15,16,,,,
2020-09-08 00:53:44 KST,43,23.55,69.55,996.97,9,14,15,,,,
2020-09-08 00:58:46 KST,44,23.54,70.26,997.18,8,15,15,,,,
2020-09-08 01:03:48 KST,45,23.53,69.37,997.30,9,17,18,,,,
2020-09-08 01:08:49 KST,46,23.61,69.88,997.51,9,17,20,,,,
2020-09-08 01:13:50 KST,47,23.58,69.70,997.46,9,16,17,,,,
2020-09-08 01:18:51 KST,48,23.58,68.92,997.37,9,16,18,,,,
2020-09-08 01:23:53 KST,49,23.62,69.92,997.65,10,17,18,,,,
2020-09-08 01:28:54 KST,50,23.62,70.00,997.71,9,15,15,,,,
2020-09-08 01:33:56 KST,51,23.63,70.53,997.91,11,18,18,,,,
2020-09-08 01:38:57 KST,52,23.67,70.37,997.90,9,14,14,,,,
2020-09-08 01:43:59 KST,53,23.73,70.23,998.18,9,17,18,,,,
2020-09-08 01:49:00 KST,54,23.67,70.43,998.19,9,15,17,,,,
2020-09-08 01:54:01 KST,55,23.74,69.71,998.33,9,14,15,,,,
2020-09-08 01:59:04 KST,56,23.74,68.51,998.37,8,14,14,,,,
2020-09-08 02:04:06 KST,57,23.72,69.19,998.41,5,9,9,,,,
2020-09-08 02:09:08 KST,58,23.78,69.90,998.54,7,13,13,,,,
2020-09-08 02:14:09 KST,59,23.72,71.03,998.72,8,12,13,,,,
2020-09-08 02:19:10 KST,60,23.76,69.81,998.79,8,11,12,,,,
2020-09-08 02:24:12 KST,61,23.73,69.43,998.95,7,13,15,,,,
2020-09-08 02:29:13 KST,62,23.70,68.77,999.08,7,12,13,,,,
2020-09-08 02:34:15 KST,63,23.60,68.89,999.13,6,10,11,,,,
2020-09-08 02:39:16 KST,64,23.61,68.81,999.42,8,13,16,,,,
2020-09-08 02:44:18 KST,65,23.61,70.34,999.39,7,13,16,,,,
2020-09-08 02:49:19 KST,66,23.58,68.48,999.47,7,13,15,,,,
2020-09-08 02:54:21 KST,67,23.53,69.33,999.48,6,14,15,,,,
2020-09-08 02:59:22 KST,68,23.47,67.40,999.73,7,13,14,,,,
2020-09-08 03:04:24 KST,69,23.46,69.84,999.75,5,9,12,,,,
2020-09-08 03:09:25 KST,70,23.49,69.15,1000.02,4,8,11,,,,
2020-09-08 03:14:27 KST,71,23.48,67.93,1000.04,4,7,7,,,,
2020-09-08 03:19:28 KST,72,23.56,67.21,1000.13,4,9,11,,,,
2020-09-08 03:24:29 KST,73,23.60,66.47,1000.25,5,8,9,,,,
2020-09-08 03:29:31 KST,74,23.57,66.56,1000.36,3,6,7,,,,
2020-09-08 03:34:32 KST,75,23.60,66.14,1000.42,5,7,8,,,,
2020-09-08 03:39:34 KST,76,23.61,66.24,1000.59,4,6,6,,,,
2020-09-08 03:44:35 KST,77,23.66,65.87,1000.54,5,9,10,,,,
2020-09-08 03:49:37 KST,78,23.65,66.82,1000.71,5,8,9,,,,
2020-09-08 03:54:38 KST,79,23.62,65.53,1000.77,4,7,8,,,,
2020-09-08 03:59:39 KST,80,23.57,67.66,1000.76,4,7,8,,,,
2020-09-08 04:04:41 KST,81,23.63,66.59,1001.09,5,8,9,,,,
2020-09-08 04:09:42 KST,82,23.61,65.93,1001.09,5,8,10,,,,
2020-09-08 04:14:44 KST,83,23.62,67.97,1000.98,3,5,5,,,,
2020-09-08 04:19:45 KST,84,23.58,65.67,1001.11,5,9,11,,,,
2020-09-08 04:24:47 KST,85,23.60,66.53,1001.18,4,6,6,,,,
2020-09-08 04:29:49 KST,86,23.62,67.66,1001.27,2,5,5,,,,
2020-09-08 04:34:50 KST,87,23.64,67.20,1001.40,4,6,6,,,,
2020-09-08 04:39:52 KST,88,23.67,67.78,1001.41,4,6,7,,,,
2020-09-08 04:44:53 KST,89,23.63,66.32,1001.57,4,6,6,,,,
2020-09-08 04:49:54 KST,90,23.62,64.71,1001.64,3,6,8,,,,
2020-09-08 04:54:55 KST,91,23.61,66.32,1001.72,4,5,8,,,,
2020-09-08 04:59:57 KST,92,23.63,66.53,1001.78,5,9,9,,,,
2020-09-08 05:04:58 KST,93,23.64,66.16,1001.84,5,8,8,,,,
2020-09-08 05:10:00 KST,94,23.58,65.70,1001.97,5,8,12,,,,
2020-09-08 05:15:01 KST,95,23.66,66.30,1002.04,3,5,5,,,,
2020-09-08 05:20:03 KST,96,23.65,66.96,1002.21,5,8,8,,,,
2020-09-08 05:25:04 KST,97,23.58,69.25,1002.30,4,7,7,,,,
2020-09-08 05:30:05 KST,98,23.65,66.75,1002.42,5,7,8,,,,
2020-09-08 05:35:07 KST,99,23.70,69.04,1002.06,4,8,10,,,,
2020-09-08 05:40:08 KST,100,23.71,66.32,1002.36,4,8,10,,,,
2020-09-08 05:45:10 KST,101,23.71,66.16,1002.50,3,6,7,,,,
2020-09-08 05:50:11 KST,102,23.73,66.64,1002.60,4,7,7,,,,
2020-09-08 05:55:13 KST,103,23.76,66.92,1002.51,3,8,9,,,,
2020-09-08 06:00:15 KST,104,23.76,66.32,1002.64,5,7,8,,,,
2020-09-08 06:05:16 KST,105,23.81,67.26,1002.64,3,5,6,,,,
2020-09-08 06:10:17 KST,106,23.84,66.90,1002.78,4,6,6,,,,
2020-09-08 06:15:19 KST,107,23.86,65.63,1002.88,5,6,6,,,,
2020-09-08 06:20:21 KST,108,23.88,66.00,1002.95,4,6,6,,,,
2020-09-08 06:25:22 KST,109,23.86,66.92,1003.02,4,6,7,,,,
